Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Cox6a2_-_128206303.23-P1P2	Cox6a2	1561	1812	1403	2054	3232
Tyr_+_87493419.23-P1P2	Tyr	2433	2018	2483	3079	5206
Grm2_-_106656028.23-P1P2	Grm2	1866	1793	1663	2020	3576
Grik2_-_49788761.23-P1P2	Grik2	2256	3180	2491	2475	4780
Slc1a3_+_8710249.23-P1P2	Slc1a3	898	1021	908	1107	1518
Lctl_-_64117418.23-P1P2	Lctl	1466	1283	1043	1499	2316
Srr_+_74925662.23-P1P2	Srr	2473	2606	2277	2520	4428
non-targeting_00115	non-targeting	1177	1161	1213	1208	1960
Glra3_+_55940477.23-P1P2	Glra3	482	393	527	518	894
Ip6k2_+_108796059.23-P2	Ip6k2_P2	1190	1302	1281	1331	2416
Tsta3_+_75929701.23-P1P2	Tsta3	2449	2686	1828	2920	4544
non-targeting_00128	non-targeting	2040	2030	1839	2403	3356
Plod1_-_147936690.23-P1P2	Plod1	1352	2043	1534	1461	2560
Slc7a11_+_50443511.23-P1P2	Slc7a11	1940	2249	1350	1794	2815
Egfr_-_16752303.23-P1P2	Egfr	1442	1735	1473	1199	2538
Gcat_-_79030939.23-P1P2	Gcat	2092	2854	2112	2045	4180
Kat5_+_5610040.23-P1P2	Kat5	1906	2602	1959	1819	2958
Grin3a_-_49845756.23-P1P2	Grin3a	234	129	183	172	367
Slc16a5_+_115462526.23-P1	Slc16a5_P1	1616	1789	1673	1637	2592
Urod_+_116994330.23-P1P2	Urod	1433	1689	1402	1526	2793
Prkca_+_108343876.23-P1P2	Prkca	1739	1656	1794	1795	3077
Sec14l2_+_4118703.23-P1P2	Sec14l2	576	469	213	533	901
Ppm1l_+_69317137.23-P1P2	Ppm1l	2592	2875	2822	2940	4599
Fxyd2_-_45403233.23-P2	Fxyd2_P2	1310	1619	1460	1433	2320
Padi2_+_140906599.23-P1	Padi2_P1	2489	3184	2411	2725	4459
Slc7a1_+_148399476.23-P1P2	Slc7a1	822	324	692	728	1076
Cdkn2c_+_109665203.23-P2	Cdkn2c_P2	2299	2857	2434	2611	4799
Grid1_+_34819832.23-P1P2	Grid1	2460	2698	2138	2403	3785
non-targeting_00202	non-targeting	2637	3628	2504	2794	5658
Trpa1_-_14918902.23-P1P2	Trpa1	2365	2394	2713	3017	4418
Mast2_-_116464116.23-P1P2	Mast2	1934	2383	1693	1946	2847
Stk38_-_29007883.23-P1P2	Stk38	1934	2235	1501	1998	3801
Ddah2_+_35059105.23-P1P2	Ddah2	1325	487	923	1141	1892
Ppm1f_-_16896646.23-P1P2	Ppm1f	1326	1491	1284	1150	1969
Ppp5c_-_17027836.23-P1P2	Ppp5c	1219	1486	1534	1688	2735
