gene	fold_change	log_fold_change	score_low	pvalue_low	fdr_low	score_high	pvalue_high	fdr_high	pvalue	fdr	phenotype_score
CD209	1.0112207234289197e0	1.60979347686521e-2	6.534618053165265e-1	7.016370235778007e-1	1e0	3.702890304577214e-1	5.097733717161341e-1	1e0	5.097733717161341e-1	1e0	4.710623613546281e-3
PRKAR2A	1.0969361142525662e0	1.3347950538113865e-1	1e0	1e0	1e0	6.422100107386287e-3	2.0509190724252377e-2	5.525557547452646e-1	2.0509190724252377e-2	5.525557547452646e-1	2.2532027610048136e-1
GSTA4	1.0225472417525927e0	3.216749731643352e-2	5.921796443630697e-1	7.837773682461449e-1	1e0	7.429587064448728e-2	2.127828537641184e-1	1e0	2.127828537641184e-1	1e0	2.1618596677049226e-2
MAPKBP1	9.730202799168838e-1	-3.945822057921039e-2	1.3086961768693284e-1	2.657260866375199e-1	9.999147782931771e-1	7.581880586047506e-1	7.617576100232627e-1	1e0	2.657260866375199e-1	9.999147782931771e-1	-2.271080262194235e-2
ACSL1	1.0240305791842428e0	3.425879715310963e-2	4.234270098590862e-1	5.692767834407275e-1	1e0	7.104078317502907e-2	1.5972740730510443e-1	1e0	1.5972740730510443e-1	1e0	2.7291262095930562e-2
RFK	1.0027584488336365e0	3.974121763529792e-3	1.908802619207776e-1	3.593769556454223e-1	1e0	3.3603882609348923e-1	4.9538845322204045e-1	1e0	3.593769556454223e-1	1e0	1.7662975221560489e-3
IDH3A	9.954336001451852e-1	-6.603009917128315e-3	9.235468339413624e-2	2.639997237819431e-1	9.999147782931771e-1	4.186099630276949e-1	6.597899879586191e-1	1e0	2.639997237819431e-1	9.999147782931771e-1	-3.819158007275285e-3
IRAK3	1.0246992793397969e0	3.520058108670628e-2	8.779810970740952e-1	8.769966465401531e-1	1e0	8.556788191240606e-1	8.53850436554007e-1	1e0	8.53850436554007e-1	1e0	2.415400344102634e-3
GPX2	9.966722425998246e-1	-4.808945044987015e-3	2.858151029137023e-1	4.350477555124924e-1	1e0	1.833594088694358e-1	3.205078959521107e-1	1e0	3.205078959521107e-1	1e0	-2.3763943756114447e-3
RPS6KC1	9.611483498290043e-1	-5.7168971854118504e-2	4.0697600781120766e-2	1.0968014812193301e-1	9.766934590821391e-1	1e0	1e0	1e0	1.0968014812193301e-1	9.766934590821391e-1	-5.4874893734122354e-2
TTBK2	9.75178147762622e-1	-3.62622971364981e-2	2.206448718276132e-1	3.732180698400093e-1	1e0	1e0	1e0	1e0	3.732180698400093e-1	1e0	-1.5521617117297815e-2
CDKN2C	9.955158155900823e-1	-6.48385890930516e-3	3.2471215408576043e-1	5.753967397637473e-1	1e0	8.000227610511907e-1	8.866556467171053e-1	1e0	5.753967397637473e-1	1e0	-1.556337532653538e-3
PDGFRB	1.0478149436703654e0	6.738394261626268e-2	1e0	1e0	1e0	2.426706243833802e-2	7.331863047634667e-2	9.244583756976745e-1	7.331863047634667e-2	9.244583756976745e-1	7.646633151555668e-2
PRKCD	1.028500412446498e0	4.054237240868843e-2	1e0	1e0	1e0	7.494321544268157e-2	1.673924583838654e-1	1e0	1.673924583838654e-1	1e0	3.147158873195337e-2
CDC42BPG	9.531781810733819e-1	-6.918216729697137e-2	2.6057335571115836e-2	7.81524464719617e-2	9.766934590821391e-1	1e0	1e0	1e0	7.81524464719617e-2	9.766934590821391e-1	-7.658863180005754e-2
LEPREL1	9.825624108524399e-1	-2.5379046836569635e-2	2.972542876236718e-1	4.461396368595733e-1	1e0	5.578080191153032e-1	6.318315415125528e-1	1e0	4.461396368595733e-1	1e0	-8.896096744716782e-3
TH	9.963187220945096e-1	-5.32076099824992e-3	3.185445697435972e-1	5.687977177483049e-1	1e0	4.190323900129159e-1	6.419437119390939e-1	1e0	5.687977177483049e-1	1e0	-1.30381074042042e-3
HIF1AN	9.966215260287996e-1	-4.882359758538973e-3	6.51681702526134e-1	7.006314172144272e-1	1e0	4.261173150631838e-1	5.686035019270526e-1	1e0	5.686035019270526e-1	1e0	-1.1971080833948964e-3
LPL	1.0172861885726365e0	2.472560323849507e-2	9.98147867245296e-2	2.1347771481348807e-1	9.92366234949284e-1	6.311865406845185e-2	1.4643009741002413e-1	1e0	1.4643009741002413e-1	9.92366234949284e-1	2.0630292888419593e-2
NARS2	1.0518078710637042e0	7.287119818726656e-2	1e0	1e0	1e0	6.318655534872626e-2	1.4643009741002413e-1	1e0	1.4643009741002413e-1	1e0	6.0801516033098094e-2
PDK1	9.898353111713727e-1	-1.473958537274017e-2	4.0729819238762666e-1	5.535453019192839e-1	1e0	5.787912251268523e-1	6.428845796953833e-1	1e0	5.535453019192839e-1	1e0	-3.7858157910231846e-3
PTPRZ1	9.866597553265529e-1	-1.937543060108324e-2	2.4714034267103704e-1	3.984315993457085e-1	1e0	5.97151797582428e-1	6.531650705003431e-1	1e0	3.984315993457085e-1	1e0	-7.743317702806349e-3
PRPS1L1	1.074492824235277e0	1.0365584807537655e-1	1e0	1e0	1e0	3.053544917964276e-2	8.529527278691072e-2	9.511387520986098e-1	8.529527278691072e-2	9.511387520986098e-1	1.1081587967084054e-1
CD86	9.955282513264593e-1	-6.465837233643398e-3	3.70093872572462e-1	6.19095299545535e-1	1e0	6.256173312738088e-1	7.893146771054074e-1	1e0	6.19095299545535e-1	1e0	-1.3464620670436496e-3
NDUFA1	1.0198586774410423e0	2.8369250745209577e-2	1e0	1e0	1e0	1.0427257452768048e-1	2.1955019615797947e-1	1e0	2.1955019615797947e-1	1e0	1.868019189921118e-2
CLEC3B	9.965033098430515e-1	-5.053497965300663e-3	2.263753427269021e-1	3.782719970997104e-1	1e0	2.669876200773263e-1	4.050090418254561e-1	1e0	3.782719970997104e-1	1e0	-2.1335656550536103e-3
VDAC2	1.0065997004534781e0	9.490073626624072e-3	1e0	1e0	1e0	6.724126452287913e-1	6.986590476519308e-1	1e0	6.986590476519308e-1	1e0	1.4779338873635256e-3
GBA	1.0305746924257466e0	4.344907012428018e-2	3.182665066558778e-1	6.045938515586898e-1	1e0	1.0701253640722751e-1	3.021652906116072e-1	1e0	3.021652906116072e-1	1e0	2.2582889867134102e-2
PANK2	1.027106054639435e0	3.8585155952899186e-2	1e0	1e0	1e0	1.1667042204839202e-1	2.403097094962905e-1	1e0	2.403097094962905e-1	1e0	2.38930352487388e-2
GHRHR	9.863021920181986e-1	-1.9898354845120137e-2	3.931273629128826e-1	6.357892283589627e-1	1e0	9.505529892706749e-1	9.521409057362722e-1	1e0	6.357892283589627e-1	1e0	-3.9137444211562135e-3
IKBKB	9.945893404732841e-1	-7.82712577035583e-3	3.1000467247240526e-1	4.584658676483917e-1	1e0	7.910021299298857e-1	7.907173469255635e-1	1e0	4.584658676483917e-1	1e0	-2.65099264283177e-3
NADK	1.0128007797642895e0	1.8350420623007714e-2	8.65163355375919e-1	9.247953181039357e-1	1e0	4.108914117125993e-1	6.354180603450136e-1	1e0	6.354180603450136e-1	1e0	3.61394001221835e-3
DHODH	1.0127163970431932e0	1.823021573437308e-2	6.512631298437276e-1	8.183262048933755e-1	1e0	2.0518770270336362e-1	4.247845283360883e-1	1e0	4.247845283360883e-1	1e0	6.7785649922169925e-3
KCNMB4	9.652888423061137e-1	-5.0967391874135515e-2	7.828499737788609e-3	2.602492004782025e-2	7.395148805978291e-1	6.944878682382708e-1	7.133676591814451e-1	1e0	2.602492004782025e-2	7.395148805978291e-1	-8.076346921569323e-2
PTPRN	1.0050802926419464e0	7.3107582890573515e-3	3.9974955243404875e-1	5.458155122334388e-1	1e0	1.4778584270402684e-1	2.859202161406295e-1	1e0	2.859202161406295e-1	1e0	3.975262371637433e-3
SMOX	9.800323724131303e-1	-2.9098689793678398e-2	1.0944702918273379e-1	2.3012416864838736e-1	9.999147782931771e-1	1e0	1e0	1e0	2.3012416864838736e-1	9.999147782931771e-1	-1.8566063071005137e-2
SLC1A7	9.302203662358008e-1	-1.0435556832763145e-1	8.723388268437723e-2	2.0945960526713306e-1	9.92366234949284e-1	2.683670439771865e-1	4.382631063310042e-1	1e0	2.0945960526713306e-1	9.92366234949284e-1	-7.084696603899936e-2
SCLY	9.088206532497696e-1	-1.3793247395051955e-1	3.566710647192084e-1	5.25560960030384e-1	1e0	7.563523738360829e-1	7.768805486381155e-1	1e0	5.25560960030384e-1	1e0	-3.853514735676856e-2
BRSK1	9.874038647778969e-1	-1.8287802973236133e-2	4.0275104877803514e-1	5.485172701024165e-1	1e0	4.009562896343632e-1	5.42004566229753e-1	1e0	5.42004566229753e-1	1e0	-4.864501726760734e-3
SNX3	9.648421591443455e-1	-5.163514716468534e-2	2.137273095414547e-2	6.423364594887376e-2	9.727408997617026e-1	7.634696882982779e-1	7.666043737402946e-1	1e0	6.423364594887376e-2	9.727408997617026e-1	-6.1561354968072045e-2
CDO1	9.581132613764595e-1	-6.1731883636064216e-2	1.709333583136822e-1	3.2677459311785445e-1	1e0	1e0	1e0	1e0	3.2677459311785445e-1	1e0	-2.998636849655136e-2
EPHB4	9.889394259169259e-1	-1.6045938519343873e-2	1.539207190840148e-1	3.030932106464797e-1	1e0	3.9365540741898836e-1	5.344517287366045e-1	1e0	3.030932106464797e-1	1e0	-8.318596290409607e-3
PRKCI	1.0408037798817e0	5.76981066059724e-2	1e0	1e0	1e0	8.023216739010179e-2	1.767536609682306e-1	1e0	1.767536609682306e-1	1e0	4.342541726575379e-2
MAP2K6	1.036262457992204e0	5.138944596762165e-2	4.78693839906205e-1	6.213395712577848e-1	1e0	1.852069180910452e-3	6.081113158769276e-3	3.522484797217103e-1	6.081113158769276e-3	3.522484797217103e-1	1.1387988151977647e-1
KCNK2	1.0086364766345237e0	1.2406305411004416e-2	1e0	1e0	1e0	7.275596274326e-1	7.372907324526006e-1	1e0	7.372907324526006e-1	1e0	1.6421137822736135e-3
PPFIA1	1.017016428270079e0	2.4342983809323322e-2	2.7972716247956214e-1	4.2973918973159375e-1	1e0	2.504457356644533e-1	3.8776267689824384e-1	1e0	3.8776267689824384e-1	1e0	1.0015531082467567e-2
non-targeting	1.0057105145875398e0	8.215097121390829e-3	6.875711149483243e-1	9.845102092783372e-1	1e0	6.491011320603807e-2	3.576980677683739e-1	1e0	3.576980677683739e-1	1e0	3.667904542054509e-3
DGKQ	9.780651926150934e-1	-3.19974641394135e-2	4.109170904288335e-2	1.403662478798106e-1	9.766934590821391e-1	4.4335699136146844e-1	6.618443597567555e-1	1e0	1.403662478798106e-1	9.766934590821391e-1	-2.7285431465960467e-2
MAT1A	1.024900486322939e0	3.548383669842805e-2	3.9044268388901254e-1	5.523800069917696e-1	1e0	1.367176101926526e-1	2.774178790769138e-1	1e0	2.774178790769138e-1	1e0	1.9759726341110735e-2
ITK	9.702786290761919e-1	-4.352899803675539e-2	1.9721641891015546e-1	3.6869931506553705e-1	1e0	1.355161503728257e-1	2.7517360736466395e-1	1e0	2.7517360736466395e-1	1e0	-2.4393355494301567e-2
PGLYRP3	9.606174362849822e-1	-5.796609953962734e-2	3.103151463291926e-2	9.099227021031416e-2	9.766934590821391e-1	1e0	1e0	1e0	9.099227021031416e-2	9.766934590821391e-1	-6.0342448739143635e-2
VWF	9.745142334797066e-1	-3.724483765394007e-2	6.569305264353795e-2	1.5436705063853845e-1	9.766934590821391e-1	7.128644079354856e-1	7.261513761269912e-1	1e0	1.5436705063853845e-1	9.766934590821391e-1	-3.0222151944544053e-2
GRK5	9.635910817441959e-1	-5.3507053721690734e-2	1.5598506976633423e-2	4.9179761848244075e-2	9.34874013933643e-1	1e0	1e0	1e0	4.9179761848244075e-2	9.34874013933643e-1	-6.999865423239288e-2
GRIK2	9.885305930146243e-1	-1.6642479759878145e-2	8.656674268434994e-2	1.9057319562712288e-1	9.846846390630837e-1	6.022267573362757e-1	6.561862054976025e-1	1e0	1.9057319562712288e-1	9.846846390630837e-1	-1.1981556647221465e-2
ACVR1	9.909380871451227e-1	-1.3133172852992554e-2	4.973917541480758e-2	1.2512677977220643e-1	9.766934590821391e-1	2.3017232602178886e-1	3.6809508806608515e-1	1e0	1.2512677977220643e-1	9.766934590821391e-1	-1.1854654958321734e-2
ENO3	9.844420206031521e-1	-2.262185478538841e-2	8.181138179554613e-2	2.2772452427913562e-1	9.999147782931771e-1	7.856634056706739e-1	8.685461003621046e-1	1e0	2.2772452427913562e-1	9.999147782931771e-1	-1.4536582111767612e-2
NDUFA7	9.397878146331763e-1	-8.959303313073198e-2	1.9849184585472399e-1	3.69743764593161e-1	1e0	7.81681103380874e-1	7.943211293865802e-1	1e0	3.69743764593161e-1	1e0	-3.8713072679369416e-2
TK1	1.028915839566803e0	4.1124981449395005e-2	1e0	1e0	1e0	3.340544865879958e-1	4.7218613644308827e-1	1e0	4.7218613644308827e-1	1e0	1.3402087293301581e-2
MTHFD2	1.0085216565121073e0	1.2242064027385308e-2	7.11203984438077e-1	8.451668313904558e-1	1e0	2.3040490668382954e-1	4.57322152256572e-1	1e0	4.57322152256572e-1	1e0	4.159581108818355e-3
OTC	9.052490754901864e-1	-1.4361329657602748e-1	2.4369121608778554e-1	4.315734502656441e-1	1e0	4.4759866307859364e-1	5.937652405470843e-1	1e0	4.315734502656441e-1	1e0	-5.241099477308422e-2
